Carnes,Pollo Fresco 1kg, $ 299 
Carnes,Solomillo de Cerdo Envasado al Vacío 1kg, $ 899 
Carnes,Carne Picada común 1kg, $ 399,00 
Carnes,Nalga Cook Master 1kg, $ 1.199,20 
Carnes,Muslo Pollo Cristal 1kg, $ 599 
